Account ID,Org Name,D-A1 Number of drinking water networks,D-A1 Reason not available,D-A1 Comments,D-A2 Number of drinking water treatment plants,D-A2 Reason not available,D-A2 Comments,D-A3 Number of reservoirs,D-A3 Reason not available,D-A3 Comments,D-A4 Number of pump stations,D-A4 Reason not available,D-A4 Comments,D-A1 to D-A4 Data confidence,D-EH5 Water imported from other suppliers (m3/year),D-EH5 Reason not available,D-EH5 Comments,D-EH6 Water exported to other suppliers (m3/year),D-EH6 Reason not available,D-EH6 Comments,D-EH5 to D-EH6 Data confidence,D-R1 Median time to attend urgent fault (hours),D-R1 Reason not available,D-R1 Comments,D-R2 Median time to attend non-urgent fault (hours),D-R2 Reason not available,D-R2 Comments,D-R3 Median time to resolve urgent fault (hours),D-R3 Reason not available,D-R3 Comments,D-R4 Median time to resolve non-urgent fault (hours),D-R4 Reason not available,D-R4 Comments,D-R1 to D-R4 Data confidence,D-R5 Number of planned interruptions,D-R5 Reason not available,D-R5 Comments,D-R6 Number of third-party incidents,D-R6 Reason not available,D-R6 Comments,D-R7 Number of unplanned interruptions,D-R7 Reason not available,D-R7 Comments,D-R8 Urban connections with unplanned interruption >8hrs,D-R8 Reason not available,D-R8 Comments,D-R5 to D-R8 Data confidence,D-R9.1 % of pipes with condition grading,D-R9.1 Reason not available,D-R9.1 Data confidence,D-R9.2 Pipe condition grading methodology,D-R9.2 Reason not available,D-R9.2 Data confidence,D-R10 % pipes in poor or very poor condition,D-R10 Reason not available,D-R10 Comments,D-R10 Data confidence,D-R12 Average age of water pipes (years),D-R12 Reason not available,D-R12 Comments,D-R12 Data confidence,D-R13.1 % above-ground assets with condition grading,D-R13.1 Reason not available,D-R13.1 Data confidence,D-R13.2 Above-ground asset grading methodology,D-R13.2 Reason not available,D-R13.2 Data confidence,D-R14 % above-ground assets in poor or very poor condition,D-R14 Reason not available,D-R14 Comments,D-R14 Data confidence,D-R19 Days when water restrictions applied (days),D-R19 Reason not available,D-R19 Comments,D-R20 % of connections affected by water restrictions,D-R20 Reason not available,D-R20 Comments,D-R19 to D-R20 Data confidence,D-R21 Adopted FENZ Code of Practice (SNZ PAS 4509:2008)?,D-R21 Reason not available,D-R21 Comments,D-R22 % of fire hydrants tested in previous 5 years,D-R22 Reason not available,D-R22 Comments,D-R21 to D-R22 Data confidence,D-RE5 Water conservation education programme in place?,D-RE5 Reason not available,D-RE5 Comments,D-RE6 Number of residential connections with water meters,D-RE6 Reason not available,D-RE6 Comments,D-RE7 Number of non-residential connections with water meters,D-RE7 Reason not available,D-RE7 Comments,D-RE8 Number of abstraction points with water meters,D-RE8 Reason not available,D-RE8 Comments,D-RE9 Abstraction meter calibration frequency (years),D-RE9 Reason not available,D-RE9 Comments,D-RE10 Number of abstraction meters on telemetry,D-RE10 Reason not available,D-RE10 Comments,D-RE11 Days with complete telemetry dataset (days),D-RE11 Reason not available,D-RE11 Comments,D-RE5 to D-RE11 Data confidence,D-RE12 Electricity use (kWh/year),D-RE12 Reason not available,D-RE12 Comments,D-RE13 Energy use from other fuels (GJ/year),D-RE13 Reason not available,D-RE13 Comments,D-RE14 Energy generated (kWh/year),D-RE14 Reason not available,D-RE14 Comments,D-RE12 to D-RE14 Data confidence,D-RE15 Recycled water to residential customers (m3/year),D-RE15 Reason not available,D-RE15 Comments,D-RE16 Recycled water to non-residential customers (m3/year),D-RE16 Reason not available,D-RE16 Comments,D-RE17 Recycled water to managed aquifer recharge (m3/year),D-RE17 Reason not available,D-RE17 Comments,D-RE18 Urban stormwater reused in network (m3/year),D-RE18 Reason not available,D-RE18 Comments,D-RE15 to D-RE18 Data confidence,D-RL1 Critical assets assessment undertaken?,D-RL1 Reason not available,D-RL1 Comments,D-RL1a Data confidence,D-RL1b Data confidence,D-RL2 Emergency response plan developed?,D-RL2 Reason not available,D-RL2 Comments,D-RL3 Business continuity plan developed?,D-RL3 Reason not available,D-RL3 Comments,D-RL4 Date emergency response plan last reviewed (dd/mm/yyyy),D-RL4 Reason not available,D-RL4 Comments,D-RL5 Date business continuity plan last reviewed (dd/mm/yyyy),D-RL5 Reason not available,D-RL5 Comments,D-RL6 Date emergency response exercise last conducted (dd/mm/yyyy),D-RL6 Reason not available,D-RL6 Comments,D-RL7 Date BCP exercise last conducted (dd/mm/yyyy),D-RL7 Reason not available,D-RL7 Comments,D-RL2 to D-RL7 Data confidence,D-RL8 Strategic plan for future water supply demand?,D-RL8 Reason not available,D-RL8 Comments,D-RL8 Data confidence,D-RL9 Days outdoor water use restricted (days),D-RL9 Reason not available,D-RL9 Comments,D-RL10 Days outdoor water use banned (days),D-RL10 Reason not available,D-RL10 Comments,D-RL11 Were other water restrictions imposed?,D-RL11 Reason not available,D-RL11 Comments,D-RL9 to D-RL11 Data confidence,D-ES1.1 Capex to meet additional demand ($),D-ES1.1 Reason not available,D-ES1.2 Capex to replace or improve existing assets ($),D-ES1.2 Reason not available,D-ES2 Total operating expenditure ($),D-ES2 Reason not available,D-ES2 Comments,D-ES1.1 to D-ES2 Data confidence,D-ES3 Forecast capex next year ($),D-ES3 Reason not available,D-ES3 Comments,D-ES4 Forecast opex next year ($),D-ES4 Reason not available,D-ES4 Comments,D-ES3 to D-ES4 Data confidence,D-ES5 Total revenue received ($),D-ES5 Reason not available,D-ES5 Comments,D-ES5 Data confidence
ACC-00008524,Ruapehu District Council,6,,,6,,,14,,,4,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.16,,,2,,,2,,,6,,,5 - Highly Reliable,2,,,28,,,27,,,0,,,4 - Reliable,21.44240077,,4 - Reliable,Desktop assessment,,4 - Reliable,14.16,,,4 - Reliable,35,,,3 - Less Reliable,23,,4 - Reliable,Asset inspections,,4 - Reliable,0,,,4 - Reliable,0,,,0,,,4 - Reliable,Yes,,,50,,,3 - Less Reliable,No,,,185,,,210,,,0,,,0,,,0,,,0,,,4 - Reliable,725741,,,0,Data Not Available,,0,Measure Not Applicable,,5 - Highly Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,10/04/2024 0:00,,,3/07/2024 0:00,,,1/09/2023 0:00,,,27/08/2025 0:00,,,4 - Reliable,Yes,,,4 - Reliable,0,,,0,,,No,,,4 - Reliable,4333719,,67006,,7714827,,,4 - Reliable,1106132,,,6616894,,,4 - Reliable,5327645,,,4 - Reliable
ACC-00001006,Selwyn District Council,26,,,37,,,102,,,17,,,5 - Highly Reliable,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,0.5,,,0.47,,,1.583,,,1.633,,,5 - Highly Reliable,44,,,6,,,132,,,75,,,3 - Less Reliable,94,,4 - Reliable,Desktop assessment,,4 - Reliable,2,,,4 - Reliable,22,,,4 - Reliable,65,,4 - Reliable,Asset inspections,,4 - Reliable,1,,,4 - Reliable,77,,,30,,,4 - Reliable,Yes,,,97,,,5 - Highly Reliable,Yes,,,21057,,,3565,,,48,,,5,,,48,,,365,,,4 - Reliable,5033293,,,39,,,3360,,,4 - Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,3/11/2023 0:00,,,15/09/2022 0:00,,,18/03/2025 0:00,,,25/03/2021 0:00,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,0,,,0,,,No,,,5 - Highly Reliable,20127329,,14108759,,14056554,,,5 - Highly Reliable,29377056,,,17613970,,,5 - Highly Reliable,19488076,,,5 - Highly Reliable
ACC-00008521,South Taranaki District Council,10,,,10,,,38,,,3,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,0.367,,,42,,,2,,,70,,,4 - Reliable,50,,,18,,,18,,,0,,,4 - Reliable,100,,5 - Highly Reliable,Asset management information system,,3 - Less Reliable,22.3,,,3 - Less Reliable,41.6,,,3 - Less Reliable,100,,5 - Highly Reliable,Asset management information system,,3 - Less Reliable,3,,,3 - Less Reliable,89,,,100,,,5 - Highly Reliable,No,,,78,,,4 - Reliable,Yes,,,456,,,2057,,,21,,,5,,,21,,,365,,,4 - Reliable,1252192,,,2,,,6,,,4 - Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,18/07/2025 0:00,,,31/08/2023 0:00,,,13/09/2024 0:00,,,,Data Not Available,,4 - Reliable,Yes,,,5 - Highly Reliable,89,,,0,,,No,,,5 - Highly Reliable,406000,,7831000,,10269406,,,5 - Highly Reliable,21884000,,,10295313,,,5 - Highly Reliable,15207459,,,5 - Highly Reliable
ACC-00008568,South Waikato District Council,5,,,6,,,11,,,2,,,5 - Highly Reliable,11813,,,0,,,5 - Highly Reliable,4,,,,Data Not Available,,13,,,,Data Not Available,,4 - Reliable,100,,,20,,,40,,,0,,,1 - Very Uncertain,100,,4 - Reliable,Asset management information system,,4 - Reliable,58,,,4 - Reliable,55,,,4 - Reliable,100,,4 - Reliable,Asset management information system,,4 - Reliable,37,,,4 - Reliable,90,,,8,,,2 - Uncertain,Yes,,,100,,,2 - Uncertain,No,,,610,,,17,,,7,,,5,,,6,,,365,,,4 - Reliable,2121549,,,0,,,0,,,4 - Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,15/08/2024 0:00,,,1/07/2024 0:00,,,6/05/2025 0:00,,,1/07/2024 0:00,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,90,,,0,,,No,,,5 - Highly Reliable,341000,,4058000,,5598000,,,5 - Highly Reliable,6448000,,,6052000,,,5 - Highly Reliable,4711000,,,5 - Highly Reliable
ACC-00001109,South Wairarapa District Council,4,,,4,,,11,,,1,,,4 - Reliable,0,,,0,,,4 - Reliable,0.58,,,68.51,,,1.3,,,118.3,,,4 - Reliable,,,,,,,37,,,0,,,4 - Reliable,98.99,,3 - Less Reliable,Desktop assessment,,3 - Less Reliable,0.234,,,3 - Less Reliable,39.29,,,3 - Less Reliable,33.33,,2 - Uncertain,Other (Please identify in the comments section),,2 - Uncertain,17.15,,,2 - Uncertain,365,,,100,,,4 - Reliable,Yes,,,0.9496,,,4 - Reliable,Yes,,,4122,,,484,,,10,,,5 yearly,,,10,,,365,,,4 - Reliable,0,Data Not Available,,0,Data Not Available,,0,Data Not Available,,4 - Reliable,0,,,0,,,0,,,0,,,4 - Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,18/01/2023 0:00,,,30/11/2023 0:00,,,,Measure Not Applicable,,,Measure Not Applicable,,4 - Reliable,No,,,4 - Reliable,365,,,0,,,Yes,,,4 - Reliable,0,Data Not Available,1427000,,4853000,,,4 - Reliable,9425000,,,5402000,,,4 - Reliable,6110000,,,4 - Reliable
ACC-00001119,Southland District Council,12,,,12,,,129,,,3,,,5 - Highly Reliable,0,Measure Not Applicable,,0,Measure Not Applicable,,5 - Highly Reliable,0.97,,,2.77,,,19.95,,,25.3,,,5 - Highly Reliable,60,,,4,,,58,,,0,,,5 - Highly Reliable,,Data Not Available,2 - Uncertain,,,2 - Uncertain,,Data Not Available,,1 - Very Uncertain,40,,,4 - Reliable,0,,3 - Less Reliable,,,3 - Less Reliable,,Data Not Available,,1 - Very Uncertain,0,,,0,,,5 - Highly Reliable,Yes,,,100,,,5 - Highly Reliable,Yes,,,22,,,145,,,20,,,5,,,19,,,365,,,5 - Highly Reliable,2636846,,,,Measure Not Applicable,,2500,Measure Not Applicable,,5 - Highly Reliable,0,Measure Not Applicable,,0,Measure Not Applicable,,0,Measure Not Applicable,,0,Measure Not Applicable,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,No,,,19/06/2024 0:00,,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,4 - Reliable,0,,,0,Measure Not Applicable,,No,,,5 - Highly Reliable,0,,3522210,,5144437,,,5 - Highly Reliable,7005138,,,5167204,,,5 - Highly Reliable,6849765,,,5 - Highly Reliable
ACC-00008528,Stratford District Council,3,,,3,,,7,,,0,,,,0,,,0,,,,0.13,,,23.35,,,2.28,,,43.3,,,,5,,,4,,,150,,,0,,,,100,,,Asset management information system,,,23,,,,29,,,,100,,,Asset management information system,,,27,,,,84,,,100,,,,Yes,,,34,,,,Yes,,,282,,,492,,,4,,,5,,,4,,,365,,,,278021,,,0,,,0,,,,0,,,0,,,0,,,0,,,,Yes,,,,,Yes,,,Yes,,,1/12/2023 0:00,,,1/02/2022 0:00,,,,,,,,,,Yes,,,,35,,,49,,,No,,,,0,,1099821,,2560000,,,,2506000,,,2647000,,,,514000,,,
ACC-00008574,Tararua District Council,7,,,7,,,21,,,2,,,,,Measure Not Applicable,,,Measure Not Applicable,,,0.3,,,2.9,,,0.8,,,6.2,,,,8,,,6,,,745,,,0,,,,90,,,Desktop assessment,,,23,,,,50,,,,30,,,Desktop assessment,,,5,,,,273,,,76,,,,No,,,13,,,,Yes,,,522,,,125,,,6,,,5,,,6,,,365,,,,,Data Not Available,,,Measure Not Applicable,,,Measure Not Applicable,,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Yes,,,,,Yes,,,Yes,,,30/03/2025 0:00,,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Yes,,,,273,,,127,,,No,,,,869031,,2352737,,36221769,,,,9076148,,,2489423,,,,3617283,,,
ACC-00008530,Tasman District Council,14,,,14,,,100,,,23,,,5 - Highly Reliable,0,,,375390,,,5 - Highly Reliable,1.8,,,3.5,,,19.9,,,26.4,,,4 - Reliable,46,,,26,,,188,,,104,,,4 - Reliable,98,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable,2,,,3 - Less Reliable,31,,,4 - Reliable,82,,4 - Reliable,Asset inspections,,4 - Reliable,2,,,4 - Reliable,0,,,0,,,5 - Highly Reliable,Yes,,,17,,,5 - Highly Reliable,No,,,12312,,,1140,,,10,,,5,,,21,,,365,,,4 - Reliable,2758447,,,0,,,28570,,,5 - Highly Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,No,Data Not Available,,4 - Reliable,,Yes,,,Yes,,,18/12/2024 0:00,,,3/04/2020 0:00,,,4/12/2024 0:00,,,3/04/2020 0:00,,,4 - Reliable,Yes,,,5 - Highly Reliable,0,,,0,,,No,,,5 - Highly Reliable,2611415,,14060758,,19992476,,,5 - Highly Reliable,20086232,,,18607731,,,5 - Highly Reliable,26510746,,,5 - Highly Reliable
ACC-00001011,Taupo District Council,18,,,15,,,72,,,30,,,,0,,,0,,,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,21,,,,,,59,,,1,,,,100,,,Asset management information system,,,16.54,,,,30.89,,,,97,,,Asset inspections,,,1,,,,41,,,72,,,,Yes,,,41,,,,No,,,1089,,,1502,,,17,,,5,,,17,,,365,,,,5026319,,,,Data Not Available,,0,,,,0,,,0,,,0,,,0,,,,Yes,,,,,Yes,,,Yes,,,18/08/2025 0:00,,,28/03/2024 0:00,,,29/04/2025 0:00,,,,Data Not Available,,,Yes,,,,41,,,0,,,No,,,,2861653,,20654234,,8917863,,,,24768800,,,10095807,,,,21462857,,,
ACC-00008507,Tauranga City Council,1,,,3,,,18,,,8,,,5 - Highly Reliable,0,,,0,,,4 - Reliable,0.533333333,,,6.666666667,,,1.6,,,17.36666667,,,5 - Highly Reliable,178,,,12,,,534,,,7,,,4 - Reliable,100,,4 - Reliable,Desktop assessment,,4 - Reliable,10.4,,,4 - Reliable,25,,,4 - Reliable,,Data Not Available,2 - Uncertain,Data Not Available,,2 - Uncertain,,Data Not Available,,2 - Uncertain,181,,,100,,,5 - Highly Reliable,No,,,0,,,4 - Reliable,Yes,,,56812,,,4137,,,3,,,5,,,3,,,365,,,3 - Less Reliable,7905017,,,704,,,0,,,4 - Reliable,0,,,0,,,0,,,0,,,4 - Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,29/08/2025 0:00,,,3/06/2025 0:00,,,5/05/2025 0:00,,,5/05/2025 0:00,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,181,,,0,,,Yes,,,5 - Highly Reliable,4260338,,16246612,,43315679,,,5 - Highly Reliable,31529746,,,42785458,,,5 - Highly Reliable,44371204,,,5 - Highly Reliable
ACC-00001125,Thames Coromandel District Council,12,,,14,,,51,,,32,,,4 - Reliable,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,0.5,,,0.87,,,1.36,,,7.4,,,5 - Highly Reliable,15,,,,,,205,,,4,Data Not Available,,5 - Highly Reliable,80,,4 - Reliable,Desktop assessment,,4 - Reliable,4,,,4 - Reliable,37,,,4 - Reliable,100,,4 - Reliable,Asset inspections,,4 - Reliable,4,,,4 - Reliable,71,,,100,,,4 - Reliable,Yes,,,92,,,4 - Reliable,Yes,,,9358,,,987,,,26,,,1,,,26,,,,Data Not Available,,4 - Reliable,3417543,,,,Data Not Available,,,Measure Not Applicable,,4 - Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,1/03/2025 0:00,,,1/12/2024 0:00,,,15/05/2025 0:00,,,15/05/2025 0:00,,,4 - Reliable,Yes,,,5 - Highly Reliable,22,,,49,,,No,,,5 - Highly Reliable,1101000,,10225000,,11956000,,,5 - Highly Reliable,10613000,,,12851000,,,5 - Highly Reliable,14737630,,,5 - Highly Reliable
ACC-00008504,Timaru District Council,11,,,11,,,38,,,13,,,,0,,,0,,,,0.75,,,7.6,,,3.03,,,9,,,,65,,,111,,,397,,,0,,,,94.87,,,Asset management information system,,,5.02,,,,46,,,,25,,,Asset management information system,,,3,,,,0,,,0,,,,No,Measure Not Applicable,,,Data Not Available,,,No,,,78,,,223,,,15,,,5,,,15,,,365,,,,3522338.03,,,77,,,,Data Not Available,,,0,Measure Not Applicable,,0,,,0,,,0,,,,Yes,,,,,Yes,,,Yes,,,21/08/2024 0:00,,,13/08/2025 0:00,,,15/05/2024 0:00,,,,Data Not Available,,,Yes,,,,0,Measure Not Applicable,,0,Measure Not Applicable,,No,Measure Not Applicable,,,1321731,,8302523,,12702569.98,,,,15750987,,,11876915,,,,20320680,,,
ACC-00001016,Waikato District Council,11,,,7,,,16,,,8,,,5 - Highly Reliable,1947309,,,,Measure Not Applicable,,5 - Highly Reliable,0.44,,,24,,,1.39,,,48,,,5 - Highly Reliable,,Data Not Available,,,Data Not Available,,802,,,1,,,3 - Less Reliable,100,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable,5.5,,,5 - Highly Reliable,21,,,5 - Highly Reliable,100,,5 - Highly Reliable,Asset inspections,,5 - Highly Reliable,12,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,Yes,,,80,,,5 - Highly Reliable,Yes,,,18823,,,827,,,7,,,1,,,7,,,365,,,4 - Reliable,1915401,,,,Data Not Available,,,Data Not Available,,4 - Reliable,0,,,0,,,0,,,0,,,4 - Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,20/04/2023 0:00,,,26/06/2021 0:00,,,12/06/2024 0:00,,,,Data Not Available,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,0,,,0,,,No,,,5 - Highly Reliable,1545025.5,,8191374.5,,8810753.082,,,5 - Highly Reliable,19110000,,,9197281.693,,,4 - Reliable,22498,,,5 - Highly Reliable
ACC-00008589,Waimakariri District Council,11,,,13,,,31,,,8,,,,,Measure Not Applicable,,,Measure Not Applicable,,,0.7,,,1.48,,,1.79,,,3.71,,,,28,,,28,,,81,,,0,,,,100,,,Renewals model,,,7,,,,22,,,,100,,,Renewals model,,,15,,,,0,,,0,,,,Yes,,,0,,,,Yes,,,6310,,,701,,,27,,,5,,,27,,,365,,,,3900900,,,15,,,0,Measure Not Applicable,,,0,Measure Not Applicable,,0,Measure Not Applicable,,0,Measure Not Applicable,,0,Measure Not Applicable,,,Yes,,,,,Yes,,,Yes,,,25/06/2025 0:00,,,10/12/2024 0:00,,,1/05/2025 0:00,,,7/11/2024 0:00,,,,Yes,,,,0,,,0,,,No,,,,5700000,,13900000,,10400000,,,,15500000,,,10700000,,,,18700000,,,
ACC-00001017,Waimate District Council,5,,,6,,,46,,,10,,,5 - Highly Reliable,208,,,0,,,5 - Highly Reliable,1.2,,,18,,,6,,,22,,,4 - Reliable,8,,,4,,,6,,,0,,,4 - Reliable,91,,3 - Less Reliable,Renewals model,,3 - Less Reliable,1,,,3 - Less Reliable,42,,,4 - Reliable,100,,3 - Less Reliable,Renewals model,,3 - Less Reliable,1,,,3 - Less Reliable,0,,,0,,,5 - Highly Reliable,No,,,0,,,5 - Highly Reliable,No,,,2006,,,106,,,9,,,5,,,9,,,365,,,5 - Highly Reliable,2674100,,,7,,,0,,,3 - Less Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,1/09/2025 0:00,,,1/04/2020 0:00,,,30/06/2025 0:00,,,1/04/2020 0:00,,,3 - Less Reliable,Yes,,,5 - Highly Reliable,0,,,0,,,No,,,5 - Highly Reliable,171961,,1197191,,3180761,,,5 - Highly Reliable,8544650,,,3731506,,,5 - Highly Reliable,3421609,,,5 - Highly Reliable
ACC-00008578,Waipa District Council,4,,,6,,,16,,,12,,,5 - Highly Reliable,0,,,42700,,,5 - Highly Reliable,1,,,1,,,1,,,1,,,5 - Highly Reliable,66,,,2,,,158,,,0,,,5 - Highly Reliable,26,,5 - Highly Reliable,Asset inspections,,5 - Highly Reliable,2,,,5 - Highly Reliable,23,,,5 - Highly Reliable,98,,5 - Highly Reliable,Asset inspections,,5 - Highly Reliable,1,,,5 - Highly Reliable,66,,,100,,,5 - Highly Reliable,No,,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,14407,,,3326,,,10,,,5,,,10,,,365,,,5 - Highly Reliable,4868168,,,0,,,0,,,5 - Highly Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,11/03/2025 0:00,,,,Measure Not Applicable,,11/03/2025 0:00,,,,Measure Not Applicable,,4 - Reliable,Yes,,,5 - Highly Reliable,66,,,0,,,No,,,5 - Highly Reliable,3596511,,5714773,,12287633,,,5 - Highly Reliable,28940000,,,14194000,,,5 - Highly Reliable,18580941,,,5 - Highly Reliable
